x, y
0.0009922509973885048, 1.2115256058421522e-12
0.0013864103635363367, 2.555084583501164e-12
0.0018061620730473443, 4.592364404473897e-12
0.0023166729566586847, 7.0343220363398515e-12
0.003137773162321461, 1.1364623826522803e-11
0.004558099672788772, 1.936584996229515e-11
0.007156976960354106, 5.054789588743886e-11
0.010978435117180805, 1.0660498968867619e-10
0.016840355682266352, 2.3713725002595493e-10
0.02583224079554125, 6.885932717739828e-10
0.03841132911372672, 1.7040467205873596e-9
0.056234124175423894, 4.691328169104835e-9
0.07383175382074819, 1.2245124819600174e-8
0.08427053962821116, 2.8729843465609147e-8
0.0910876631620331, 8.342500770070083e-8
0.12241588899724148, 1.3478139798898472e-7
0.16451908252577602, 1.9573401232480226e-7
0.2245698355756384, 2.4224747058552706e-7
0.3186973526346806, 2.4224747058552706e-7
0.49268332194771125, 2.555094973804126e-7
