x, y
0.003107757545394958, 0.00040395684307254225
0.0044005254632068025, 0.0006289885694396557
0.0065876589844131766, 0.001005223381168135
0.010069805961722847, 0.0016065078113937546
0.014866392141046679, 0.003697204355267589
0.02164449220347527, 0.00673061584213035
0.033316450549663715, 0.01163084312361156
0.047504771933097545, 0.01764438417539375
0.06496641549106422, 0.02607892993322073
0.08004299871318686, 0.025408423683955784
0.1, 0.03049041470819535
0.17085533638235922, 0.04060668636393866
0.20615765062865732, 0.032968553855882654
0.24361670149398812, 0.02349855497429133
0.3195448949203369, 0.06836627236383541
0.352231347459561, 0.058474803160050715
0.38826111215908676, 0.09104924237787435
0.5852907798544263, 0.10104745480645169
0.8823069528882039, 0.13812486269955931
0.0030435728971989692, 0.00004300149703326493
0.004588084219715534, 0.000058780210142869444
0.00721117654169666, 0.00008464511907594645
0.010572295116927343, 0.00011570406480294723
0.01883321385236606, 0.00023993335111087026
0.02839044673188896, 0.00037359271878701007
0.04279765906948285, 0.0005667534103211275
0.06318358538246413, 0.0008161404967203933
0.09393119571730163, 0.0012381140920499781
0.11413053719642245, 0.0011752659271171823
0.21644503690969477, 0.0019278268238801016
0.298071464824514, 0.0021395235014940468
0.35716608083496537, 0.0016065078113937546
0.38556960644022065, 0.0017829183409935618
0.42500976912727506, 0.0027761264005320453
0.46848429138728004, 0.0021395235014940468
0.5652830219636327, 0.004553774712368835
0.7414655834938, 0.004923887336039929
0.8884655098863823, 0.006064650260971843
