x, y
0.003118717206548329, 0.0029245816955161255
0.004173323261142037, 0.003080975740913222
0.006327102827738417, 0.003162280016763304
0.009592410577325041, 0.0034192975083418746
0.013950134190533878, 0.003794774140020196
0.02071404982892623, 0.004211478068258088
0.029299985505220706, 0.004673944874845941
0.04003220901027192, 0.005756801297529221
0.05821838870793252, 0.006908230952759976
0.08584891506061426, 0.008963735296918858
0.11893267703067589, 0.01133180658267327
0.17296235528482884, 0.015489785999589011
0.26588797145420195, 0.021732244894376057
0.30544966011443747, 0.024118661445867027
0.486123655923139, 0.025408423683955784
0.7472976656871252, 0.025408423683955784
0.8887811191894482, 0.02607892993322073
