9.26136e-10,1.295,0.,0.,4.913629996026501e8,7.05813000466454e8,7.056730005096443e8,479647.0000086371,7.056740003627976e8,7.058140003196074e8,4.913629996026501e8,0.,0.
1.13119e-9,1.295,0.,0.,4.005190003447696e8,5.753269998850768e8,5.752009998320352e8,436698.00033592817,5.752009998320352e8,5.753269998850768e8,4.005190003447696e8,0.,0.
1.38163e-9,1.295,0.,0.,3.264689996598221e8,4.68961999956573e8,4.688490000940918e8,397593.0002967508,4.688490000940918e8,4.689630002243726e8,3.264689996598221e8,0.,0.
1.68753e-9,1.295,0.,0.,2.6610900013629386e8,3.8226099980444795e8,3.8215899984000283e8,361990.0001777739,3.8216000011851645e8,3.822620000829615e8,2.6610900013629386e8,0.,0.
2.06115e-9,1.295,0.,0.,2.1690699997574168e8,3.1158899983019185e8,3.114970002183247e8,329574.9998787077,3.114970002183247e8,3.1158899983019185e8,2.1690699997574168e8,0.,0.
2.5175e-9,1.295,0.,0.,1.7680199999999997e8,2.539809998013903e8,2.53898e8,300060.9998013892,2.53898e8,2.53982e8,1.7680199999999997e8,0.,0.
3.07488e-9,1.295,0.,0.,1.4411200014309502e8,2.0702299992194816e8,2.069489999609741e8,273189.9999349574,2.069489999609741e8,2.0702399996097407e8,1.4411200014309502e8,0.,0.
3.75567e-9,1.295,0.,0.,1.1746500011981884e8,1.6874699986953062e8,1.686790000186385e8,248725.00006656582,1.6868000010650563e8,1.6874699986953062e8,1.1746500011981884e8,0.,0.
4.58718e-9,1.295,0.,0.,9.57441999223924e7,1.375459999389603e8,1.3748599989536053e8,226451.00039675803,1.3748599989536053e8,1.3754699989972052e8,9.57441999223924e7,0.,0.
5.6028e-9,1.295,0.,0.,7.803960002141787e7,1.1211399996430357e8,1.1206000000000001e8,206170.0007139288,1.1206000000000001e8,1.12115e8,7.803960002141787e7,0.,0.
6.84327e-9,1.295,0.,0.,6.360829997939582e7,9.138400004676127e7,9.133480002981031e7,187705.00067949964,9.133510003258677e7,9.138460005231418e7,6.360829997939582e7,0.,0.
8.35839e-9,1.295,0.,0.,5.184529999198411e7,7.448640001244259e7,7.44420999737988e7,170893.9999210374,7.444240003158504e7,7.448689998911275e7,5.184529999198411e7,0.,0.
1.0209e-8,1.295,0.,0.,4.225710000979527e7,6.0712799980409436e7,6.0672899990204714e7,155587.99980409432,6.067320001959054e7,6.071340003918111e7,4.225710000979527e7,0.,0.
1.24693e-8,1.295,0.,0.,3.444180002085121e7,4.9485800004811816e7,4.944989999438621e7,141651.99971129093,4.945010000561378e7,4.948630003288076e7,3.444180002085121e7,0.,0.
1.523e-8,1.295,0.,0.,2.80716e7,4.03345e7,4.03022e7,128962.99999999994,4.03024e7,4.0335e7,2.80716e7,0.,0.
1.86019e-8,1.295,0.,0.,2.2879300017740123e7,3.2875200006450955e7,3.2846100022040755e7,117410.99995161776,3.2846300001612738e7,3.287570000913885e7,2.2879300017740123e7,0.,0.
2.27205e-8,1.295,0.,0.,1.86471000198059e7,2.6795200017605245e7,2.6769000022006556e7,106893.00015404593,2.676920001760524e7,2.6795700006601967e7,1.86471000198059e7,0.,0.
2.77508e-8,1.295,0.,0.,1.5197500000000002e7,2.1839299984144602e7,2.1815700015855398e7,97316.79987603956,2.18159000100898e7,2.1839800005765602e7,1.5197500000000002e7,0.,0.
3.38949e-8,1.295,0.,0.,1.2385900002655266e7,1.779990001445645e7,1.777859999586958e7,88597.79996400635,1.777879999645964e7,1.7800299986133605e7,1.2385900002655266e7,0.,0.
4.13994e-8,1.295,0.,0.,1.0094199988405628e7,1.4507300009178877e7,1.4488199998067604e7,80659.49989613376,1.4488400000966197e7,1.4507699990821121e7,1.0094199988405628e7,0.,0.
5.05653e-8,1.295,0.,0.,8.2263899947197e6,1.1823700007712798e7,1.1806400001582114e7,73431.80006842637,1.1806600000395529e7,1.182399999604472e7,8.2263899947197e6,0.,0.
6.17606e-8,1.295,0.,0.,6.704020006282322e6,9.63627000061528e6,9.620749992713802e6,66851.30001975372,9.620920004015505e6,9.636630003594525e6,6.704020006282322e6,0.,0.
7.54346e-8,1.295,0.,0.,5.463230003208077e6,7.853389996102584e6,7.839420000901443e6,60859.80001219599,7.839579993795949e6,7.853739994644367e6,5.463230003208077e6,0.,0.
9.2136e-8,1.295,0.,0.,4.451960004775549e6,6.400249999999999e6,6.387669998697577e6,55404.79996961014,6.387830001302423e6,6.400580001302423e6,4.451960004775549e6,0.,0.
1.12535e-7,1.295,0.,0.,3.6277600035544503e6,5.215859999111388e6,5.204540000888613e6,50438.200026658385,5.204689998667083e6,5.216179997334164e6,3.6277600035544503e6,0.,0.
1.37451e-7,1.295,0.,0.,2.956050003273894e6,4.250540003346647e6,4.240350001091298e6,45916.09999199715,4.240490000072753e6,4.250840001164052e6,2.956050003273894e6,0.,0.
1.67883e-7,1.295,0.,0.,2.408610002203916e6,3.463770000536088e6,3.4546100022039157e6,41799.00001786959,3.454739997498258e6,3.4640600001191306e6,2.408610002203916e6,0.,0.
2.05052e-7,1.295,0.,0.,1.962469997854203e6,2.8225500019507245e6,2.8143000019507245e6,38050.39999609855,2.814429998244348e6,2.8228200017556525e6,1.962469997854203e6,0.,0.
2.50452e-7,1.295,0.,0.,1.598889998882021e6,2.2999499984028875e6,2.292530001756823e6,34637.39998083465,2.2926500007985556e6,2.300210000319422e6,1.598889998882021e6,0.,0.
3.05902e-7,1.295,0.,0.,1.3025999993461957e6,1.8740399997384786e6,1.867360000915326e6,31529.900000653804,1.867480000130761e6,1.8742900013729886e6,1.3025999993461957e6,0.,0.
