delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,1398.5191248777076,1175.3139779341739,1e-05,1424.9226271287582,1207.7534501261769,1e-05,10000000000.0,10000000000.0,1e-05,10000000000.0,10000000000.0,
0.0001,935.1432710242693,783.3995361774917,0.0001,928.5854593733997,773.4665375740175,0.0001,1422.2166783864748,1088.78092066479,0.0001,10000000000.0,10000000000.0,
0.001,499.0732836132897,442.97512296643384,0.001,505.547964419015,442.6565428593303,0.001,841.2908791040794,470.4082740002755,0.001,10000000000.0,10000000000.0,
0.01,258.4864894889365,245.5740510373481,0.01,285.8696903726029,244.842361572288,0.01,476.1705613796241,203.61545672779948,0.01,10000000000.0,319.2803861988217,
0.1,136.4945734968508,138.05264879093832,0.1,150.028572520485,136.92722915089152,0.1,296.9976640578033,107.53555510584721,0.1,10000000000.0,67.7338023979634,
1.0,75.5578443850681,74.77817500009229,1.0,79.3145871502071,71.94193607768658,1.0,196.28953983836016,50.2462846186514,1.0,10000000000.0,20.72023506467656,
10.0,114.93230420262796,109.4946867419929,10.0,149.53743164770572,86.13111457453785,10.0,4666.283024877151,31.612126204332302,10.0,10000000000.0,11.236671814788084,
100.0,2620.2511416940474,360.03649066796095,100.0,6986721843.015329,115.1174883612643,100.0,10000000000.0,35.26197489407861,100.0,10000000000.0,8.892760393243005,
1000.0,10000000000.0,2990.4582202083207,1000.0,10000000000.0,254.14169167289612,1000.0,10000000000.0,71.39841879106643,1000.0,10000000000.0,18.10121700648768,
10000.0,10000000000.0,10000000000.0,10000.0,10000000000.0,93366767.92020133,10000.0,10000000000.0,30388719.27798735,10000.0,10000000000.0,57229497.196575806,
