delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
0.1,0.000522727953694896,0.0004899076092217754,0.1,0.001240844671794955,0.0002238098777371345,0.1,1.3874055718824447,6.645597511957714e-05,0.1,10000000000.0,0.00029711046952914306,
1.0,0.0017037697589411616,0.0013955462263992157,1.0,0.003041388049479975,0.00037420565686612444,1.0,0.019138491706181846,0.00028065889135170163,1.0,10000000000.0,6.089321109527513e-05,
10.0,0.009972620429171873,0.005113682120638305,10.0,0.020081833365311982,0.0006298721688855835,10.0,1.2849187422289332,0.0003019216063199675,10.0,10000000000.0,0.00031014073824670415,
100.0,0.23603538707194024,0.026339064678102507,100.0,10000000000.0,0.002049117969217319,100.0,10000000000.0,0.0007221478036042543,100.0,10000000000.0,0.0005395060404386005,
1000.0,10000000000.0,0.30343541538838903,1000.0,10000000000.0,0.012723014467425688,1000.0,10000000000.0,0.004043698847502218,1000.0,10000000000.0,0.0022229880309123737,
10000.0,10000000000.0,10000000000.0,10000.0,10000000000.0,8535.825030575039,10000.0,10000000000.0,3296.3376254532236,10000.0,10000000000.0,12369.05387323072,
