delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,663079.1202811152,673712.9422444223,1e-05,701126.7602883225,713823.8142033638,1e-05,941556.995252334,961717.4453544725,1e-05,3931542.074691315,5692217.5021480825,
0.0001,363737.3510664461,368587.4983790865,0.0001,381956.72811024776,387424.82785524917,0.0001,478045.5351154492,488460.06451056304,0.0001,814665.8571376406,835845.957413026,
0.001,207297.01924246055,210431.5809107088,0.001,212198.4079473231,213167.29112812175,0.001,253163.16218557645,257051.9059212003,0.001,22755764.997163527,347320.0711199797,
0.01,132034.98309071033,134880.6527359374,0.01,131741.89388295237,134297.80746282238,0.01,585352.8033943971,139627.79241562972,0.01,1599586.5139130526,173548.5188037913,
0.1,336170.1596520653,84477.32084387726,0.1,290279.72425040975,84510.47870983103,0.1,250193.91875290262,85040.81476325654,0.1,2916927.360169111,94856.54306957677,
1.0,274180.1067061904,262839.763627558,1.0,267638.19255055365,273776.8246143523,1.0,598039.7206225692,292015.0485654241,1.0,1154680.2870408227,61538.90940968707,
10.0,225482.30340241297,135031.56359752658,10.0,137487.17892847565,135627.89792679585,10.0,311035.8944091771,152605.77039276538,10.0,22323481.47959196,62471.74322703764,
100.0,148201.4779601021,102332.40265679844,100.0,95756.86210710055,102702.42853785274,100.0,296487.5122530063,116223.21304551055,100.0,3276655.728820052,187415.07502081268,
1000.0,874737.1073687394,416787.1462146567,1000.0,479918.89466040605,416970.2647146395,1000.0,630332.797539115,559943.9335407867,1000.0,1033848.947888391,1049422.9725246183,
10000.0,4460992.1154068075,2372770.591103413,10000.0,1653465.2392679588,2377520.850188175,10000.0,4237233.629368621,3233051.804959161,10000.0,6316506.574333095,6556834.2763289865,
