delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,2814.9407922124788,2380.4438213523426,1e-05,3006.0708960430247,2666.5846594409845,1e-05,181241.91199523624,91160.37658430576,1e-05,10000000000.0,10000000000.0,
0.0001,1271.6247125370846,966.903757076078,0.0001,1295.8468837289843,971.3754998881174,0.0001,3125.7767314554294,2412.4702459018745,0.0001,10000000000.0,10000000000.0,
0.001,668.8322850641098,493.2584170376808,0.001,729.2371883414763,476.43240089637857,0.001,1545.2800178917344,583.9955596709283,0.001,1129734.4060242665,16816.109164811613,
0.01,325.82935878428333,286.4923656301168,0.01,402.10299743969944,281.4187116605228,0.01,854.0306646246606,173.09109528046164,0.01,896026.2260617572,693.6089122135465,
0.1,174.66561399000835,171.02026839238042,0.1,227.58323031763322,162.3412782127444,0.1,517.6199642684226,92.37639223503372,0.1,1002416.187585209,125.97257249449527,
1.0,127.83867818158093,126.02371811567549,1.0,142.88819271052282,106.57120435917166,1.0,288.49224990822125,44.018312698171925,1.0,9543.239240288734,29.33500629836121,
10.0,195.89875024329157,190.6541581344585,10.0,229.28651858032578,112.12023120295869,10.0,651.2602961265362,36.475967547788635,10.0,10000000000.0,13.814446763495523,
100.0,938.1107783068774,616.2425385338163,100.0,2276.164321410705,155.2503951893393,100.0,66892.55614172315,54.28627553719505,100.0,10000000000.0,12.793740744243378,
1000.0,18211.53897953097,4835.94799481664,1000.0,20273997008780.93,505.9003255585083,1000.0,10000000000.0,142.30272439735268,1000.0,10000000000.0,35.925456204293084,
10000.0,10000000000.0,82562.41354253526,10000.0,10000000000.0,2953.400132463868,10000.0,10000000000.0,826.7546881405614,10000.0,10000000000.0,212.70717709535958,
