delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,0.046207536236401586,0.04399044698846869,1e-05,0.04692236525472509,0.04515586011774661,1e-05,0.06610645082441774,0.06925141619981634,1e-05,0.6243953123182681,1.745147757304741,
0.0001,0.053979390874808256,0.0494527685333255,0.0001,0.053972568854644146,0.04966649793807793,0.0001,0.06670539638941379,0.06548882296000831,0.0001,0.23021907655924514,0.24669996229105068,
0.001,0.06765002191127395,0.060757504886127106,0.001,0.06832555156674412,0.060528685075704095,0.001,0.07665794586208526,0.07022060236238435,0.001,0.2191942571221516,0.18798139293498156,
0.01,0.08723789660588903,0.08305271811831849,0.01,0.09412466153263391,0.08306558773291392,0.01,0.10411381004761594,0.08794893353465888,0.01,0.2826755089576536,0.22696764635583683,
0.1,0.1549301477911362,0.15718880199281077,0.1,0.16879613006174074,0.15735703736967416,0.1,0.20478239813180804,0.1662720012619127,0.1,0.8596997398242663,0.6168205543469113,
1.0,0.6359472908802261,0.6408680738539548,1.0,0.6507065008236673,0.6556027682759805,1.0,0.8870502758852472,0.777556641656653,1.0,3.538414486278746,1.9997282185702392,
10.0,8.870061019214974,8.47139966265218,10.0,10.90003884477789,9.017882155674798,10.0,32.187553635925774,8.963035075270817,10.0,119.28981663381114,13.568189163820161,
100.0,154.88520112095262,102.66294307410027,100.0,148.52081970077447,103.22182064015091,100.0,126.4129448333084,105.54571200785266,100.0,154.93495396942396,115.36751684490137,
1000.0,1592.4721060870922,587.9641542129144,1000.0,1237.2133952935612,586.6540060495727,1000.0,520.3676336970799,576.4261314329914,1000.0,902.1700216783911,520.9157690782829,
10000.0,4795824174009.446,3379.505704269971,10000.0,10443.522757214265,3369.990313966084,10000.0,5945.092627237347,3280.4972271680163,10000.0,4458.638915203811,2827.772156981193,
