TXS, , , , , , , , , , , , NGC, 
0.01, , ,0.1, , ,1.0, , ,10.0, , ,0.01, , ,0.1, , ,1.0, , ,10.0, , ,
m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,
1e-05,122851.24047714361,122832.11902018278,1e-05,125018.43022320849,123659.20752718594,1e-05,186400.15342342717,93754.84949584189,1e-05,750975.1768520421,17404.917563881183,1e-05,119451.58470167682,119432.99239176686,1e-05,121558.8019223677,120237.19292296501,1e-05,181241.91199523624,91160.37658430576,1e-05,730193.481141837,16923.272215508972,
0.0001,122853.21134153387,122833.76004858183,0.0001,125020.5535062048,123659.15124113049,0.0001,186415.45642341845,93752.15314226762,0.0001,750978.8389193659,17404.816420304796,0.0001,119453.50102644273,119434.58800807517,0.0001,121560.86644786775,120237.13819451052,0.0001,181256.79151613117,91157.75484677906,0.0001,730197.0418689685,16923.173870873343,
0.001,122872.76573493502,122849.98403096986,0.001,125041.58323281228,123659.07938151258,0.001,186568.66073678771,93725.22275922596,0.001,751015.454735174,17403.805109550864,0.001,119472.51429216618,119450.36302507052,0.001,121581.31421998101,120237.06832345997,0.001,181405.75621477008,91131.56970678,0.001,730232.6444172735,16922.19054606755,
0.01,123062.98300004334,123009.94105308273,0.01,125246.4365613308,123658.7142662778,0.01,188118.42526902957,93459.18884879154,0.01,751381.1273482159,17393.711692045446,0.01,119657.46768511979,119605.89356510683,0.01,121780.49865334865,120236.71331203947,0.01,182912.63419639843,90872.89773845188,0.01,730588.1977917467,16912.376443162324,
0.1,124402.91714291339,124174.27279888582,0.1,126859.9947679947,123549.17169032006,0.1,205742.66616804028,91085.03774747562,0.1,754989.9143239076,17294.704595636646,0.1,120960.32190246478,120738.00482108173,0.1,123349.40495047523,120130.20210189918,0.1,200049.16042417075,88564.44639297132,0.1,734097.118999403,16816.109164811613,
1.0,119926.88890742214,118891.9439895907,1.0,126000.60739229844,114934.1279962884,1.0,274122.42364229687,85768.71538114859,1.0,786830.5090599536,16464.915953839813,1.0,116608.15855578409,115601.8536130439,1.0,122513.7993554415,111753.56204902378,1.0,266536.64854469924,83395.24232977848,1.0,765056.590668492,16009.283219504816,
10.0,70965.1059701458,69161.06245375103,10.0,107600.75706023451,88647.1880901491,10.0,304043.72742485645,80377.60269886265,10.0,921527.6100911798,13481.976856661646,10.0,69001.2924064325,67247.17208931423,10.0,104623.12709277413,86194.05921819736,10.0,295629.94169571134,78153.31761902088,10.0,896026.2260617572,13108.890835654094,
100.0,37032.946700653614,36790.352563940025,100.0,83665.0885917514,73893.03348308998,100.0,309489.55656039016,78849.63957928958,100.0,1016460.0843417555,11238.913722479654,100.0,36008.13595682677,35772.255114621,100.0,81349.82909147139,71848.19553866332,100.0,300925.0686942466,76667.63774074013,100.0,988331.6390542467,10927.899867037882,
1000.0,12883.558014722794,12867.046457440265,1000.0,37994.29864359112,36106.840888180785,1000.0,309818.42100564815,78662.65641353252,1000.0,1030945.4866318178,10806.999308760885,1000.0,12527.032006168061,12510.97737232285,1000.0,36942.88445911223,35107.658220731835,1000.0,301244.83249138476,76485.82895008025,1000.0,1002416.187585209,10507.937797678056,
10000.0,4117.700137970463,4115.083973921682,10000.0,12710.44448933515,12301.158468168285,10000.0,307400.86630439234,78626.36695329784,10000.0,1032448.3632963082,10759.946537757953,10000.0,4003.751243345373,4001.2074762637158,10000.0,12358.709042065022,11960.749170966104,10000.0,298894.1786514528,76450.54372612838,10000.0,1003877.4752245302,10462.187115478384,
