delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,0.11923054021121283,0.11092548853111235,1e-05,0.11930151009160954,0.11170991659983738,1e-05,0.1640266523212469,0.1639015529247674,1e-05,92.25947598762765,1.745147757304741,
0.0001,0.0810648548223902,0.07260636979986389,0.0001,0.08133693820170719,0.07204242051564844,0.0001,0.10064252850526992,0.08788587020613703,0.0001,0.36473719581056985,0.2942463565585259,
0.001,0.05576502996353987,0.04982536362460984,0.001,0.05723869998575051,0.04953159722241897,0.001,0.07840835011880694,0.04624321367027698,0.001,0.4537541289277655,0.10974261386911074,
0.01,0.04121580623343989,0.03786778156081707,0.01,0.047505026179894334,0.037579655594840194,0.01,0.09258284249000452,0.02714397085744993,0.01,0.9135687778815308,0.035103687994621637,
0.1,0.04444585380615224,0.04486439697739815,0.1,0.057305427907323736,0.043388939864118826,0.1,0.16234024661370808,0.025986144692920085,0.1,92.86590859117264,0.015196962668757386,
