delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,0.27444613800692247,0.23036200909735904,1e-05,0.290310285768346,0.25244750729839194,1e-05,1.070335088024459,1.0894978980115892,1e-05,10000000000.0,10000000000.0,
0.0001,0.12544703595867987,0.09553044007752495,0.0001,0.12916744293780855,0.09601485381455017,0.0001,0.2908582926143349,0.22107732514599313,0.0001,10000000000.0,10000000000.0,
0.001,0.06753966591622013,0.04856403775930289,0.001,0.07514513325306645,0.04682719382931532,0.001,0.18814554487324078,0.05767030444292326,0.001,439.2624609685522,0.5574235467589971,
0.01,0.03631432188095565,0.030917766724857867,0.01,0.045988953209720275,0.03027023240520022,0.01,0.18590240739690408,0.01764143859967289,0.01,89.76595437395626,0.07324609833870598,
0.1,0.026663225062196486,0.024822651026655367,0.1,0.04653009859598034,0.01989593378421988,0.1,0.33371980365346504,0.011170168673014763,0.1,90.29603529351807,0.01649703178865963,
1.0,0.09488676726651839,0.06341305202558006,1.0,0.19012498333337716,0.021830834078363316,1.0,1.076234698290363,0.008271021014612655,1.0,95.01452102952662,0.004824604976594958,
10.0,1.1380208587189549,0.43333402617689254,10.0,2.2683084059066316,0.04227702514612925,10.0,31.296829193978603,0.014773957069358041,10.0,10000000000.0,0.014547690079577071,
100.0,11.045025066085978,3.990149295609962,100.0,21.2635002238922,0.3004012704766776,100.0,767.9325355349963,0.08936275356076757,100.0,10000000000.0,0.040074656507899584,
1000.0,277.9640903299654,47.93575355725184,1000.0,182465896559.27713,3.525303541493933,1000.0,10000000000.0,0.9164937689170453,1000.0,10000000000.0,0.3024139152741905,
10000.0,10000000000.0,825.5311413011142,10000.0,10000000000.0,28.601251859637706,10000.0,10000000000.0,8.008993469392577,10000.0,10000000000.0,2.0652521393796404,
