delta = 0.01 GeV, , ,delta = 0.1 GeV, , ,delta = 1 GeV, , ,delta = 10 GeV, 
mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,mDM, coup prod 1, coup prod 2,
1e-05,679498.6411682629,689872.2534576791,1e-05,747093.72370015,759740.016892589,1e-05,inf,inf,1e-05,inf,inf,
0.0001,438498.7165529183,445956.73877160077,0.0001,441158.7893738481,446852.80536374176,0.0001,730882.9249512197,744395.5460493196,0.0001,inf,inf,
0.001,272913.2250809494,278325.8939292019,0.001,275194.3827143766,278696.9768311069,0.001,334228.77676453936,337880.6175207431,0.001,inf,inf,
0.01,147726.18580624615,149318.85951349608,0.01,147222.35932537852,149418.35281527208,0.01,737686.4996610582,153234.71717768,0.01,747733.2690297542,466198.16552838596,
0.1,82808.15221441175,84474.74324777894,0.1,256907.78633028053,84487.17292756175,0.1,538892.489685022,84791.83897379709,0.1,215258149.56002825,136922.32071086083,
1.0,112226.68946250367,110693.18009499343,1.0,152245.94635604662,110496.73466540633,1.0,275159.9096834083,115628.6835151863,1.0,32433054.72516193,61640.67693747112,
10.0,43285.64372649067,38935.9999963534,10.0,39384.71201071786,39519.93381676672,10.0,43867.59435242665,48350.38628652071,10.0,372940693.36343265,50161.10191705437,
100.0,28113.705008720062,24978.684052316774,100.0,26519.322316288322,27364.738170447443,100.0,56449.85382856508,73184.79094866535,100.0,5709518004.86088,403347.1518740858,
1000.0,207358445462.4322,22093.08710425037,1000.0,55757.546582342795,61166.95877713971,1000.0,1472942.035392385,612672.1266987674,1000.0,inf,inf,
10000.0,inf,18290855723.396324,10000.0,55560307262628.02,17138222683425.137,10000.0,inf,inf,10000.0,inf,inf,
