TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,0.04485813955405802,0.04388090555271782,1e-05,0.04487914440100931,0.04473326854066507,1e-05,0.06112834700634514,0.06626299216994856,1e-05,0.4391716102965487,0.5292286942511035,1e-05,0.16955213393286597,0.1654341881004175,1e-05,0.16925932323328863,0.16867003817942952,1e-05,0.23236364942494056,0.2514496060145747,1e-05,1.7589903754358227,2.102624364899184,
0.0001,0.052402338265446345,0.04968056192516961,0.0001,0.05236884017510526,0.049772645254281524,0.0001,0.06258124903439148,0.06331598065496764,0.0001,0.21440445358226465,0.22365922926241402,0.0001,0.19741712810918674,0.18709083783520716,0.0001,0.19698700115904821,0.18744858930057268,0.0001,0.23564107060226067,0.23866702172804707,0.0001,0.8844765589646358,0.9064240084256163,
0.001,0.06568587242652695,0.06091356912011901,0.001,0.06609235590899847,0.0607323335893613,0.001,0.07313843385335855,0.06846363195973322,0.001,0.2076235250014383,0.17698855717596723,0.001,0.24724230934940972,0.22857019807951992,0.001,0.2474223457209226,0.2280664751942103,0.001,0.2745641906804447,0.25749928907040986,0.001,0.7961150335202927,0.6749206931367979,
0.01,0.08395518564457052,0.08203439958488629,0.01,0.09176249420045834,0.08205688521557408,0.01,0.10018407398449063,0.08626584887317623,0.01,0.2704039356873726,0.2131599393481163,0.01,0.30877941565115313,0.3004431096415543,0.01,0.33903260001527835,0.30048371924652406,0.01,0.3731744121858134,0.3211030255190391,0.01,1.0197392073048384,0.789398625968046,
0.1,0.1476518502038473,0.1521767163063833,0.1,0.15952309990212796,0.15231109621479724,0.1,0.1946068515873573,0.1602260250486272,0.1,0.8071565689890962,0.5461633782532959,0.1,0.43175883209533394,0.44182377576007636,0.1,0.4760452167208692,0.44245532919727454,0.1,0.6273965607442774,0.49291197979799145,0.1,3.0124146412009014,2.0299866060260165,
1.0,0.5359410568635329,0.6038161628042671,1.0,0.622441172145687,0.6169936221674267,1.0,0.8140782176948926,0.7253636748195583,1.0,2.8798409212412746,1.9997282185702392,1.0,0.9353720845770717,0.9904375048902495,1.0,1.0387881597363513,1.0275934092970396,1.0,1.8380470892042573,1.4676291142447635,1.0,10.225235694707884,6.8316250204529965,
10.0,8.870061019214974,8.47139966265218,10.0,8.391442435634946,8.513669988007562,10.0,8.979830725193063,8.963035075270817,10.0,16.36614918577788,13.568189163820161,10.0,8.241013975501868,7.765191694942862,10.0,8.579154149011902,7.403638071424751,10.0,12.812373236644271,4.429599104740486,10.0,52.32464859421046,12.7322044105166,
100.0,154.88520112095262,102.66294307410027,100.0,148.52081970077447,103.22182064015091,100.0,126.4129448333084,105.54571200785266,100.0,154.93495396942396,115.36751684490137,100.0,41.621403146185266,38.093558187641705,100.0,40.62270245257359,35.185614984439674,100.0,64.54793023265809,11.27668328085094,100.0,211.3012894983813,51.14949440725234,
1000.0,1592.4721060870922,587.9641542129144,1000.0,1237.2133952935612,586.6540060495727,1000.0,520.3676336970799,576.4261314329914,1000.0,902.1700216783911,520.9157690782829,1000.0,206.6079479037689,217.84636164654086,1000.0,213.0499786728584,200.4807911951474,1000.0,378.4088350663267,51.64824666927742,1000.0,1145.912890112732,278.4870747656591,
10000.0,4795824174009.446,3379.505704269971,10000.0,10443.522757214265,3369.990313966084,10000.0,5945.092627237347,3280.4972271680163,10000.0,4458.638915203811,2827.772156981193,10000.0,609302651816.9784,1257.0758609474929,10000.0,1446.4414789018367,1157.4859448440616,10000.0,2101.641102250226,259.55637724813073,10000.0,7127.583670350418,1598.2084861880678,
