TXS, , ,NGC, , , 
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,7.357544853897051e-06,6.604066967978189e-06,1e-05,2.72884878234005e-05,2.437127622345489e-05,
3.1622776601683795e-05,8.765897661756601e-06,7.934846972640274e-06,3.1622776601683795e-05,3.1556525741814674e-05,2.8166195711207244e-05,
0.0001,1.0964448765204304e-05,1.0133895246326503e-05,0.0001,3.658539039621326e-05,3.2582960154545864e-05,
0.00031622776601683794,1.503151460762997e-05,1.4374385974072385e-05,0.00031622776601683794,4.2584505360593234e-05,3.785913682777753e-05,
0.001,2.3579394112927175e-05,2.3212711868306138e-05,0.001,5.1455697172591495e-05,4.533303041370154e-05,
0.0031622776601683794,4.799897649296397e-05,4.758196093865941e-05,0.0031622776601683794,8.171068340612317e-05,6.598588615293506e-05,
0.01,0.00017555842152088797,0.00015867778371605145,0.01,0.00026229089795865116,0.00015672680339860116,
0.03162277660168379,0.0012145036562553877,0.0007764293070304746,0.03162277660168379,0.002350582431119852,0.00046722691108097103,
0.1,0.054441857066076724,0.004047281045290498,0.1,0.1377926645807359,0.001314975291296011,
0.31622776601683794,8.636213405033606,0.02689840721598275,0.31622776601683794,27.872718389531688,0.004472017822063274,
1.0,1736.382223395584,0.10358764278694299,1.0,6129.496008899052,0.0440263535339321,
3.1622776601683795,525656.3129710113,7.486142338146295,3.1622776601683795,1959184.5296784602,1.5751243537770152,
10.0,211956719.7656741,376.8169452462232,10.0,803039570.1697588,62.707475438572075,
31.622776601683793,90892245910.52145,1529.6003657732301,31.622776601683793,345672482631.16364,1846.4497112086863,
100.0,10000000000.0,52758.82394279353,100.0,10000000000.0,64650.37966793313,
316.22776601683796,10000000000.0,13835997.326934071,316.22776601683796,10000000000.0,2720360.7956025563,
1000.0,10000000000.0,258946124.9639831,1000.0,10000000000.0,114590401.24230884,
3162.2776601683795,10000000000.0,149333234615.40417,3162.2776601683795,10000000000.0,23860258417.155518,
10000.0,10000000000.0,31166726786362.727,10000.0,10000000000.0,9563707432835.3,
