TXS, , ,NGC, , , 
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,0.00021628394264233127,0.00019274227562974866,1e-05,0.000813463726126074,0.0007247404733047833,
3.1622776601683795e-05,0.00033581507825000044,0.0002986807051863238,3.1622776601683795e-05,0.0012610004072004675,0.0011206602839258775,
0.0001,0.000524894118288474,0.0004670457279404448,0.0001,0.0019608235506631917,0.0017405308254601613,
0.00031622776601683794,0.0008406133623023401,0.00074747948082088,0.00031622776601683794,0.0030904590832594365,0.0027285251423180244,
0.001,0.0014240544794495002,0.0012672530582043763,0.001,0.004989963214178505,0.004360317789355089,
0.0031622776601683794,0.0027792690549338136,0.0024455994750465695,0.0031622776601683794,0.008607513907450369,0.007232956801390604,
0.01,0.006737951749070851,0.006041438598646855,0.01,0.01568556730212991,0.012844744088361787,
0.03162277660168379,0.016857128012260764,0.016131793414353335,0.03162277660168379,0.0322306108214421,0.025540991152081364,
0.1,0.034641045398663216,0.033172213358836626,0.1,0.06764823397515202,0.05633499696280176,
0.31622776601683794,0.10412440082864288,0.09593041514772013,0.31622776601683794,0.15872474212320908,0.13240710344044995,
1.0,0.5519656752073103,0.5087829920237318,1.0,1.163126157218359,0.9466041644219066,
3.1622776601683795,4.459538641073472,3.9022293167937994,3.1622776601683795,11.808494842678554,9.153356549338424,
10.0,39.43668095145561,33.7255890501232,10.0,125.5610719536509,77.20688619040074,
31.622776601683793,386.4247626474273,317.2348611816196,31.622776601683793,1386.4748082386852,792.0554582170216,
100.0,4365.891697703092,3377.7060402052075,100.0,16965.12127044496,9714.58786191333,
316.22776601683796,74486.91216810937,49946.63981948124,316.22776601683796,332714.28335734765,128872.33840445334,
1000.0,2393826.8242196687,673333.7476357628,1000.0,9551973.553152874,1841945.526301309,
3162.2776601683795,10000000000.0,9142367.652422138,3162.2776601683795,10000000000.0,33278545.916048076,
10000.0,10000000000.0,10000000000.0,10000.0,10000000000.0,10000000000.0,
