TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,0.11932121100968449,0.1124010407147105,1e-05,0.11917190669851846,0.11324837009974667,1e-05,0.17940601160385042,0.18208082251049448,1e-05,0.9254240832468458,0.8862117565216595,1e-05,0.44929754528299004,0.42309558902546235,1e-05,0.44975508357359456,0.42628783926985764,1e-05,0.6760365634216906,0.6857083761452977,1e-05,3.584093898854225,3.433078007488922,
0.0001,0.09744044186986352,0.08124053831019279,0.0001,0.09778116863832934,0.08018489289134516,0.0001,0.1282740552328318,0.10034558988361936,0.0001,0.7172264395305351,0.38912340077724294,0.0001,0.36541038025680933,0.3057569039408785,0.0001,0.3678413736553995,0.30178835750166766,0.0001,0.48260227092963015,0.3774923325354513,0.0001,2.706498081619152,1.4686153151784083,
0.001,0.10739901200986585,0.08109822490436233,0.001,0.11636435751554693,0.07870746611043447,0.001,0.4949611735488158,0.05560385541963093,0.001,107.17438870603578,0.1407910365316847,0.001,0.4022738810820829,0.3041663651830253,0.001,0.43627236515403717,0.2952132911001185,0.001,1.8699309292760729,0.20865240032597707,0.001,403.6806373430758,0.529109573454604,
0.01,0.1284167906467123,0.11709943575065686,0.01,0.22835515125001432,0.10013195134568882,0.01,4.587635643826867,0.03988847846567003,0.01,2835.7542301732706,0.04121396303508237,0.01,0.39131968228358877,0.3406533195792628,0.01,0.7977802264123952,0.27575601851196396,0.01,17.45287651652352,0.1450160559666036,0.01,10681.534370027726,0.14804202139532716,
0.1,0.6377858224658192,0.5659964660029306,0.1,1.9657256115237403,0.40646829595806766,0.1,82.84773595556514,0.05833832773726922,0.1,51851.729288059774,0.051852086930462664,0.1,1.0645560007968229,0.6472799532108379,0.1,5.351105799311107,0.22564308069352582,0.1,305.81582137674064,0.11382468295078739,0.1,195278.6883604265,0.07702653799416372,
1.0,53.51329962012505,18.96860655380658,1.0,232.03559542185886,3.149280640906461,1.0,4231.6031920054875,0.43204632082867395,1.0,1091685.589169392,0.33677404383230425,1.0,76.3807533322917,8.82720115591558,1.0,577.3418205979533,0.15890513060737285,1.0,15131.768097105427,0.11316864689809668,1.0,4106265.5986566157,0.04141773103666618,
10.0,30882.6096803469,2984.2528070314042,10.0,106056.63956051116,11.632484819784125,10.0,896706.7172709217,12.48254016214842,10.0,58699578.40871199,20.85821572567345,10.0,37899.88192056099,2510.3301191277164,10.0,266726.88582024607,0.42555961928688374,10.0,3072236.552969346,0.8605825965672209,10.0,219862989.12433186,3.8082537382597494,
100.0,20773098.50274356,1616799.4773944449,100.0,55980725.66101767,414.0535432854536,100.0,425055872.49588656,498.57792248014084,100.0,13060190262.83762,1591.5651054267453,100.0,24700466.737882193,1389460.764211677,100.0,137020593.25209013,23.84629994365602,100.0,1436226868.8793783,19.073274655643377,100.0,49194579636.827324,128.1954564747216,
1000.0,24270403428.15368,923854742.418351,1000.0,30757738686.153122,84558.81203785964,1000.0,252809030889.92023,45425.75817707082,1000.0,10000000000.0,97908.25617123448,1000.0,6561758603.562765,781382476.4610732,1000.0,82065383552.5856,7605.767416490981,1000.0,803259519690.2948,2494.909497368521,1000.0,10000000000.0,3642.4565917616214,
10000.0,10000000000.0,519789497494.3657,10000.0,18692809271723.34,24378941.705560144,10000.0,10000000000.0,81516551.47722723,10000.0,10000000000.0,30498657.166895263,10000.0,41963496031629.77,439732926262.82587,10000.0,47865888397686.84,2327857.5239276597,10000.0,10000000000.0,12524029.150993628,10000.0,10000000000.0,2146534.2921240474,
