TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,67502.78924820421,71064.81144195337,1e-05,72829.56860244375,76874.99342248208,1e-05,121850.49959457436,129263.5426627758,1e-05,381632.61637207476,616438.5082687364,1e-05,254135.38250259348,267489.2089244027,1e-05,273922.45980024216,289369.7423133478,1e-05,459424.5922755595,486800.7894134652,1e-05,1477337.77792115,2387957.3421548093,
0.0001,39462.636116625086,40442.1724695116,0.0001,41449.626298473595,43278.70920028987,0.0001,68848.73171068534,72403.21952290228,0.0001,207118.35729302748,283601.8913459833,0.0001,148358.55467234316,152030.62570313676,0.0001,155630.3359607665,162858.95140732927,0.0001,259556.89003600334,272381.08248282404,0.0001,785577.0678729571,1070357.9082898789,
0.001,24801.5494302803,24588.917446974356,0.001,25061.70897949902,24859.777112379878,0.001,38840.76679822167,40779.60700713011,0.001,120011.58223818448,129296.01245143502,0.001,91159.64627454137,89455.16907507938,0.001,92676.68582837784,92471.17757888562,0.001,147604.13457215,152999.8389553299,0.001,433253.933713257,485914.80723222543,
0.01,23004.55918937987,23553.25644530733,0.01,23862.548685513742,22865.644451184708,0.01,25825.297667334675,23899.956882801875,0.01,81392.28905140643,61002.824264694565,0.01,59797.06321398384,58220.85731646974,0.01,65670.98709483274,57750.44266548018,0.01,89181.6147743562,86683.25892299798,0.01,301957.55819687643,219160.55185510332,
0.1,84199.89923123381,88551.03688436828,0.1,87541.26548660202,88482.4822670292,0.1,41385.44088942944,26276.263145092573,0.1,129872.295019167,99132.60713299949,0.1,51915.18200187968,51986.21004246302,0.1,62523.82443494714,51752.130909850464,0.1,77498.68260965202,50475.413384837,0.1,453919.54883355915,153979.48268223825,
1.0,632230.2149722317,709168.8428159112,1.0,773769.984658766,752666.6538338803,1.0,983817.7561640482,173965.74080983744,1.0,4253595.884963698,322063.27112463955,1.0,75832.15775519187,79020.10198238351,1.0,110542.49571683253,77328.5629520439,1.0,354664.6418738656,45418.37807129723,1.0,8845679.517992482,52078.97254223452,
10.0,9880174.961864231,5521458.500793584,10.0,8519618.19299179,6412090.893633036,10.0,21452044.133161344,3282048.7765905443,10.0,114536284.50031848,35928289.20743837,10.0,720935.2515427865,793374.0079028353,10.0,959663.3761705039,610266.6957657278,10.0,6462310.280347592,222769.61631370487,10.0,144325135.06306103,8034389.160436271,
100.0,600778905.5197328,130862928.70144057,100.0,844056661.36613,123599042.86496586,100.0,1009112740.6966108,47198064.4545738,100.0,5699728225.18058,1303441012.7883046,100.0,76422061.46594857,35823780.08207734,100.0,46499284.043408856,24820150.116934307,100.0,289566089.0840652,1829853.0529845166,100.0,6699017732.9447365,291065794.7203466,
1000.0,1133547178905.8152,6678017394.963844,1000.0,108204157926.87378,6482931553.191426,1000.0,125148177233.03459,728266360.3451369,1000.0,1895193510846.3696,132389048810.38837,1000.0,27023687740.91466,3137644311.7833014,1000.0,4208096113.5497303,1923271509.6699083,1000.0,56036101535.62363,40187009.61583226,1000.0,2408343298517.6465,41725677399.041176,
10000.0,10000000000.0,2682830017034.509,10000.0,16212472005499.588,2292310207133.8174,10000.0,358638639101081.25,34698910443.1462,10000.0,1273157862253948.5,42726072339741.47,10000.0,20858119006645.66,1343545132182.5247,10000.0,2906297925228.185,754155182690.5945,10000.0,30634003136093.594,3212007354.5854096,10000.0,1322269956800490.0,21536976610064.168,
