TXS, , , , , , , , , , , , NGC, , , , , , , 
delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,delta =0.01 GeV, , ,delta =0.1 GeV, , ,delta =1.0 GeV, , ,delta =10.0 GeV, , ,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,1100.4156398743714,1025.8000236949742,1e-05,1049.2097927662298,1030.856411824172,1e-05,1292.6056399855438,1345.00446867386,1e-05,5462.995240718291,7931.794724593498,1e-05,4154.251638954625,3900.1540776024876,1e-05,3999.903237220266,3920.120579858091,1e-05,5017.685123404775,5218.395270108826,1e-05,21700.492845325894,33884.370844098885,
0.0001,669.1541440117303,619.8827802494219,0.0001,635.3439115799557,617.5531996266388,0.0001,688.1981000764455,680.4978787397712,0.0001,1186.618309256545,1156.9541868987415,0.0001,2537.6251156233043,2363.8284518062824,0.0001,2431.291019611972,2354.428747930169,0.0001,2654.7434196356135,2610.5434795389183,0.0001,5076.6100240992955,4934.819442906933,
0.001,382.04126615985143,362.0051166363934,0.001,366.6401039225055,361.66860854751826,0.001,389.79286599680825,355.36068795852435,0.001,564.992594452465,458.87209699744284,0.001,1445.5852867552844,1381.598078215877,0.001,1401.213612637814,1380.1902634215687,0.001,1500.3049202900047,1354.382411312131,0.001,2269.5424097055447,1801.6499076283428,
0.01,215.69294959248293,210.50788372714214,0.01,212.84484661232628,210.34582063355595,0.01,229.95557195684248,195.64596559440199,0.01,343.8698445956032,187.34289602584087,0.01,814.4456399349123,800.4865788474856,0.01,813.1893343672134,799.7880897578052,0.01,883.2965075826539,739.7631277905728,0.01,1370.6405421713603,710.1500062489534,
0.1,125.27501759377724,128.25085880858572,0.1,126.08316629751494,127.98612666188322,0.1,142.96673724014187,117.3661892200558,0.1,262.22444660400583,69.84293563774624,0.1,465.7532179580725,479.89723158881407,0.1,476.1523706388759,478.47730345684573,0.1,544.1798185004153,425.9248817790089,0.1,1030.7457628177563,259.03047388689043,
1.0,84.85963610250954,88.68727999285933,1.0,86.33505827656909,87.84681672707578,1.0,103.46020735644866,77.47382379960251,1.0,303.63380116620687,37.64632780205302,1.0,304.63592527954376,316.2781549333452,1.0,310.8449650060247,311.1049601765514,1.0,383.48942119526384,246.05035711690718,1.0,1182.0865644290836,112.26805149490573,
10.0,110.83600501292511,105.50213884296355,10.0,107.51328548070555,100.47960828974541,10.0,162.0722515294136,68.49813094610475,10.0,680.5012639874012,31.147174904049482,10.0,315.9993540161725,332.2037496818746,10.0,353.66380274040137,306.5593089827281,10.0,590.7618609860173,160.56495801899518,10.0,2674.6326334563923,60.36013185564379,
100.0,443.3394691365319,433.2597265410313,100.0,487.7899192882905,384.84247615105375,100.0,847.8128197524187,152.23806638788062,100.0,3177.6340445299984,49.66551086301549,100.0,1441.5238495185768,1250.849172860522,100.0,1480.2900039851072,566.0846956055319,100.0,3035.272219310638,192.74173002158514,100.0,13297.621842673783,48.86588286174078,
1000.0,2764.2388885843666,2605.478545766713,1000.0,3190.7487205792245,2227.227167080887,1000.0,6049.172662354846,746.2275904126099,1000.0,10000000000.0,207.84902293728885,1000.0,8859.943788375089,7751.736467685156,1000.0,10866.686098806775,725.9389769951617,1000.0,22292.710468771635,204.7760461477562,1000.0,10000000000.0,81.5242511207022,
10000.0,2950700168312506.5,20188.23466771836,10000.0,26337.32753526259,12922.21262023138,10000.0,10000000000.0,4258.127178815524,10000.0,10000000000.0,1129.0364440465105,10000.0,479416273531837.94,46003.21230745567,10000.0,93735.71031379681,1879.9710056961032,10000.0,10000000000.0,666.1865162464436,10000.0,10000000000.0,204.94863742458153,
