TXS, , , , , , , , , , , , NGC, 
0.01, , ,0.1, , ,1.0, , ,10.0, , ,0.01, , ,0.1, , ,1.0, , ,10.0, , ,
m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,
1e-05,122882.55429305173,122863.42796122546,1e-05,125070.98062700548,123711.94360963278,1e-05,186400.15342342717,93754.84949584189,1e-05,750975.1768520421,17404.917563881183,1e-05,119482.03197204019,119463.43492216665,1e-05,121609.89810166458,120288.46964263641,1e-05,181241.91199523624,91160.37658430576,1e-05,730193.481141837,16923.272215508972,
0.0001,122884.53360374476,122865.07169644718,0.0001,125073.10722171563,123711.96101276684,0.0001,186415.45642341845,93752.15314226762,0.0001,750978.8389193659,17404.816420304796,0.0001,119483.95650937474,119465.03317039192,0.0001,121611.9658472336,120288.48656417451,0.0001,181256.79151613117,91157.75484677906,0.0001,730197.0418689685,16923.173870873336,
0.001,122904.28595853188,122881.4911860686,0.001,125094.32304416907,123712.13970677512,0.001,186568.66073678771,93725.22275922596,0.001,751015.454735174,17403.805109550864,0.001,119503.1622583094,119480.99828435946,0.001,121632.59456537243,120288.66031319309,0.001,181405.75621477008,91131.56970678,0.001,730232.6444172735,16922.19054606755,
0.01,123096.41724204867,123043.37529345782,0.01,125301.53267823352,123714.13248219786,0.01,188118.42526902957,93459.18884879154,0.01,751381.1273482159,17393.711692045446,0.01,119689.97670314292,119638.40258154484,0.01,121834.0700983693,120290.59794264866,0.01,182912.63419639843,90872.89773845188,0.01,730588.1977917467,16912.376443162324,
0.1,124455.88657904619,124227.35621090228,0.1,126936.30362495176,123627.15084718978,0.1,205742.66616804028,91085.03774747562,0.1,754989.9143239076,17294.704595636646,0.1,121011.82551823815,120789.61925869023,0.1,123423.60211653466,120206.02334575157,0.1,200049.16042417075,88564.44639297132,0.1,734097.118999403,16816.109164811613,
1.0,119926.88890742214,118891.9439895907,1.0,126000.60739229844,114934.1279962884,1.0,274122.42364229687,85768.71538114859,1.0,786830.5090599536,16464.915953839813,1.0,116608.15855578409,115601.8536130439,1.0,122513.7993554415,111753.56204902378,1.0,266536.64854469924,83395.24232977848,1.0,765056.590668492,16009.283219504816,
10.0,70965.1059701458,69161.06245375103,10.0,107600.75706023451,88647.1880901491,10.0,304043.72742485645,80377.60269886265,10.0,921527.6100911798,13481.976856661646,10.0,69001.2924064325,67247.17208931423,10.0,104623.12709277413,86194.05921819736,10.0,295629.94169571134,78153.31761902088,10.0,896026.2260617572,13108.890835654094,
100.0,37032.946700653614,36790.352563940025,100.0,83665.0885917514,73893.03348308998,100.0,309489.55656039016,78849.63957928958,100.0,1016460.0843417555,11238.913722479654,100.0,36008.13595682677,35772.255114621,100.0,81349.82909147139,71848.19553866332,100.0,300925.0686942466,76667.63774074013,100.0,988331.6390542467,10927.899867037882,
1000.0,12883.558014722794,12867.046457440265,1000.0,37994.29864359112,36106.840888180785,1000.0,309818.42100564815,78662.65641353252,1000.0,1030945.4866318178,10806.999308760885,1000.0,12527.032006168061,12510.97737232285,1000.0,36942.88445911223,35107.658220731835,1000.0,301244.83249138476,76485.82895008025,1000.0,1002416.187585209,10507.937797678056,
10000.0,4117.700137970463,4115.083973921682,10000.0,12710.44448933515,12301.158468168285,10000.0,307400.8726243662,78519.0971331746,10000.0,1032448.3632963082,10759.946537757953,10000.0,4003.751243345373,4001.2074762637158,10000.0,12358.709042065022,11960.749170966104,10000.0,298894.18479653436,76346.24237797254,10000.0,1003877.4752245302,10462.187115478384,
