TXS, , ,NGC, , , 
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,7.03088786361325e-06,6.60913980006679e-06,1e-05,2.6058185648129665e-05,2.4390315401955897e-05,
3.1622776601683795e-05,8.377256467461707e-06,7.957186860434766e-06,3.1622776601683795e-05,3.0060999806564504e-05,2.825136739755302e-05,
0.0001,1.0630499251596719e-05,1.0235584065882585e-05,0.0001,3.521752373836128e-05,3.29753966152599e-05,
0.00031622776601683794,1.5185249428335135e-05,1.4996191828518302e-05,0.00031622776601683794,4.272027966428308e-05,4.007799858067254e-05,
0.001,2.8534238428713776e-05,2.8622966493004655e-05,0.001,6.443932462734704e-05,6.0706952039796104e-05,
0.0031622776601683794,8.785100039730312e-05,8.615125158069854e-05,0.0031622776601683794,0.00016722525540995974,0.00015592252724931245,
0.01,0.00031973768503893086,0.00030433907703639505,0.01,0.0007280715573856781,0.0006241851001012649,
0.03162277660168379,0.0017587769516960888,0.0017241553277884938,0.03162277660168379,0.004634993023149158,0.0031778463313132067,
0.1,0.008863015840194841,0.007661608914898992,0.1,0.028763579213247455,0.015635631197828563,
0.31622776601683794,0.05491368669364482,0.039517094637235316,0.31622776601683794,0.18277497156173456,0.05831818564860612,
1.0,0.44983331038015884,0.19207204534015965,1.0,1.555126367009195,0.2792168385110291,
3.1622776601683795,4.869330143027188,0.8077878197953214,3.1622776601683795,17.800879192123404,1.3323217089192592,
10.0,64.19977805838694,3.440036504373681,10.0,244.37174924384092,4.968828672345893,
31.622776601683793,982.0528221639117,15.760202222552024,31.622776601683793,4028.8783062697153,19.76466054014911,
100.0,10000000000.0,80.72479909304383,100.0,10000000000.0,79.51080260092249,
316.22776601683796,10000000000.0,471.8718756509251,316.22776601683796,10000000000.0,352.4840989228688,
1000.0,10000000000.0,2634.5910397476355,1000.0,10000000000.0,1708.041135664649,
3162.2776601683795,10000000000.0,14923.773753158399,3162.2776601683795,10000000000.0,9564.42694933007,
10000.0,10000000000.0,85981.27294758325,10000.0,10000000000.0,66528.3832138523,
