TXS, , ,NGC, , , 
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,0.007637242364773883,0.0068238863928681975,1e-05,0.028690076138070262,0.02561732771007937,
3.1622776601683795e-05,0.00889449553733863,0.007937150177646051,3.1622776601683795e-05,0.03327528014716378,0.02963022725810315,
0.0001,0.010462373090821323,0.009354235944912099,0.0001,0.038654065444027545,0.03432621982196648,
0.00031622776601683794,0.012629592898912603,0.01142583964343775,0.00031622776601683794,0.04489925827680231,0.03989602893094837,
0.001,0.01643423887762457,0.015185063672076485,0.001,0.052831010915493595,0.046734376718064,
0.0031622776601683794,0.02478027736165835,0.02359366113343642,0.0031622776601683794,0.06429359680038402,0.05575125601675944,
0.01,0.04761747501849253,0.04660196600622698,0.01,0.08181459161554719,0.06939565930769476,
0.03162277660168379,0.1321685399009993,0.12909846499347763,0.03162277660168379,0.11733912283388129,0.09520219352455307,
0.1,0.539685427732569,0.5104438609903692,0.1,0.21191730447951274,0.16210032142059208,
0.31622776601683794,3.500575742177117,2.976422805332685,0.31622776601683794,0.7402372934720504,0.4432697081886373,
1.0,65.26550516812003,4.533931173917083,1.0,16.741505099459783,2.2722821593499978,
3.1622776601683795,5240.690828518929,368.5807589631491,3.1622776601683795,2834.9722911378185,89.71064716950976,
10.0,1031562.3657818125,94047.44771200696,10.0,969954.5803248311,23145.6864906529,
31.622776601683793,247025626.73131537,27732135.293254804,31.622776601683793,397676876.1662158,10414098.150410416,
100.0,74804640364.54535,4744894614.181857,100.0,165587650849.5937,4341901006.256926,
316.22776601683796,24719392273248.6,1152522579535.6702,316.22776601683796,71272240621067.42,1812376988606.1104,
1000.0,8985036228111840.0,348133810712081.75,1000.0,3.037503639385747e+16,762372974400652.2,
3162.2776601683795,10000000000.0,1.1405326744441058e+17,3162.2776601683795,10000000000.0,3.263432517474956e+17,
10000.0,10000000000.0,10000000000.0,10000.0,10000000000.0,10000000000.0,
