TXS, , , , , , , , , , , , NGC, 
0.01, , ,0.1, , ,1.0, , ,10.0, , ,0.01, , ,0.1, , ,1.0, , ,10.0, , ,
m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,m_DM [GeV], g_SM g_chi 1 Scatter, g_SM g_chi 2 Scattering,
1e-05,79804.28612746434,79435.07821231846,1e-05,90962.84134595559,76537.63706351338,1e-05,219939.38760351745,84348.95981820309,1e-05,712627.1382662527,16516.147241112314,1e-05,76582.03538591025,76227.73494674213,1e-05,87290.04258784476,73447.2835279803,1e-05,211058.91402005046,80943.20918108306,1e-05,683853.4540926685,15849.276195987137,
0.0001,79810.94564820082,79435.66191030019,0.0001,90975.72062866672,76533.74532069136,0.0001,219947.38264523665,84348.70193204179,0.0001,712630.6133325899,16516.05126236412,0.0001,76588.42601575538,76228.29507680105,0.0001,87302.40184487456,73443.54892172077,0.0001,211066.5862466634,80942.96170756892,0.0001,683856.7888465537,15849.184092564543,
0.001,79876.90047783537,79441.85807721973,0.001,91103.89909909734,76495.25488510117,0.001,220027.23706252794,84346.11917255518,0.001,712665.3593865726,16515.091593508634,0.001,76651.71779295238,76234.24106162612,0.001,87425.40486431829,73406.61261111108,0.001,211143.2163890715,80940.48323193818,0.001,683890.1319621274,15848.26317217522,
0.01,80484.03981686568,79532.39710134255,0.01,92328.09023185534,76148.91734454721,0.01,220816.2963086147,84319.91532259031,0.01,713012.3591753895,16505.513589529375,0.01,77234.34271953255,76321.1243994221,0.01,88600.16693785218,73074.25911140296,0.01,211900.4158583942,80915.33741255134,0.01,684223.1209705577,15839.071898432177,
0.1,83996.5241367236,80857.12605781764,0.1,101031.78023143616,74441.20713412797,0.1,227860.94157189826,84031.77723497606,0.1,716436.8658892864,16411.562223416837,0.1,80605.00376455681,77592.36488968196,0.1,96952.42880097161,71435.50096808313,0.1,218660.62009068675,80638.83345151774,0.1,687509.3566737886,15748.913998483129,
1.0,80747.0207869839,74820.58211495088,1.0,111910.90886795819,78892.40822916252,1.0,260124.54780953017,81388.9940424526,1.0,746651.542228601,15624.146176393455,1.0,77486.70532982203,71799.55795819902,1.0,107392.29180380944,75706.976302444,1.0,249621.52149667125,78102.75768681683,1.0,716504.0576463082,14993.291380917664,
10.0,67341.32091589767,65629.39965934529,10.0,102106.19730540657,84120.47949286543,10.0,288517.9404874904,76273.17487656126,10.0,874470.4270591376,12793.528843134505,10.0,64622.28624009212,62979.48707968378,10.0,97983.46422990343,80723.95418603123,10.0,276868.4766203168,73193.4995078206,10.0,839162.010446553,12276.965638295604,
100.0,35141.884368906336,34911.67813741537,100.0,79392.78752975226,70119.73579419867,100.0,293685.6820480174,74823.23615842401,100.0,964555.2388332174,10665.006208121265,100.0,33722.963550713,33502.052336270965,100.0,76187.1518313991,67288.51730175386,100.0,281827.5607279224,71802.10483958894,100.0,925609.4755864162,10234.386177163167,
1000.0,12225.667853903024,12209.999448105791,1000.0,36054.14552623782,34263.069522268226,1000.0,293997.753253199,74645.80116133667,1000.0,978300.9538698626,10255.147211297199,1000.0,11732.033122990048,11716.997359055164,1000.0,34598.39041839234,32879.632534940145,1000.0,282127.0314611105,71631.83411999451,1000.0,938800.1810788463,9841.076021517125,
10000.0,3907.432570355892,3904.9499989516908,10000.0,12061.394253396938,11673.00814559089,10000.0,291703.6553420071,74509.57263836222,10000.0,979727.0871557489,10210.497158165119,10000.0,3749.662504255786,3747.2801714219204,10000.0,11574.392383408289,11201.688107802187,10000.0,279925.56214236957,71501.10608428055,10000.0,940168.7315047006,9798.228799708984,
