TXS,,,NGC,,,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,3.046962972414691e-07,3.046962956049698e-07,1e-05,2.9239360126638135e-07,2.923935996959588e-07,
3.1622776601683795e-05,3.0444013195631116e-06,3.0444011494351126e-06,3.1622776601683795e-05,2.921477791447315e-06,2.921477628188559e-06,
0.0001,2.8971713483229584e-05,2.8971691665301064e-05,0.0001,2.7801925119903796e-05,2.7801904182915894e-05,
0.00031622776601683794,0.0001609939258777082,0.00016099214257493118,0.00031622776601683794,0.00015449348809148987,0.00015449177679297446,
0.001,0.0005560805998362735,0.0005560319886324071,0.001,0.0005336277816715406,0.0005335811332380378,
0.0031622776601683794,0.0018531541549366996,0.0018521818186420485,0.0031622776601683794,0.0017783295103001781,0.0017773964339437894,
0.01,0.007069192285169643,0.007041553951558592,0.01,0.00678376012120424,0.006757237738193027,
0.03162277660168379,0.04092401649099908,0.03982330619894791,0.03162277660168379,0.03927163102545061,0.03821536401742473,
0.1,0.37636616183648647,0.32842429742311385,0.1,0.3611696579527669,0.31516353804202335,
0.31622776601683794,4.987103684217775,2.8649832372711903,0.31622776601683794,4.785739831165934,2.7493040575076857,
1.0,70.31739967909468,36.42488474582674,1.0,67.47820012910783,34.95416033265678,
3.1622776601683795,1262.4577726652549,281.5141361130212,3.1622776601683795,1211.4836246394966,270.1474642478122,
10.0,24415.893317096066,1129.9930721455157,10.0,23430.054909606788,1084.3674398473179,
31.622776601683793,403127.4429853016,3694.3708624385927,31.622776601683793,386850.4011729678,3545.2035704455907,
100.0,5384960.801823305,11726.425334293452,100.0,5167532.706430025,11252.94847530803,
316.22776601683796,60846006.43659676,37094.96168821896,316.22776601683796,58389232.510347016,35597.18163644491,
1000.0,559804800.2177299,117307.38660877895,1000.0,537201610.3371009,112570.87643078959,
3162.2776601683795,2705100337.49219,370959.6620724181,3162.2776601683795,2595876735.7104473,355981.4559609028,
10000.0,8828364116.468504,1173078.2110158878,10000.0,8471902023.999388,1125712.9338012093,
31622.776601683792,28039059254.823956,3709599.6670955163,31622.776601683792,26906928590.41291,3559817.482977292,
100000.0,88782782907.28029,11730784.789331589,100000.0,85198008179.72633,11257131.909008078,
