TXS,,,NGC,,,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,2.7423091334528085e-08,2.7423091097462234e-08,1e-05,2.6315831553427447e-08,2.631583132593359e-08,
3.1622776601683795e-05,2.7422544333354906e-07,2.7422540900820575e-07,3.1622776601683795e-05,2.6315306638473213e-07,2.631530334453402e-07,
0.0001,2.7403148449017563e-06,2.7403112947118456e-06,0.0001,2.6296693900076044e-06,2.629665983163404e-06,
0.00031622776601683794,2.6291251179519224e-05,2.6290803286149597e-05,0.00031622776601683794,2.5229691610221413e-05,2.5229261801403532e-05,
0.001,0.0001527597213042437,0.00015272067525586637,0.001,0.0001465917552821431,0.00014655428579267562,
0.0031622776601683794,0.0005463597895766779,0.0005452757598957972,0.0031622776601683794,0.0005242994677249558,0.0005232592078165094,
0.01,0.0019460511831055653,0.001928053682394086,0.01,0.0018674756432172873,0.001850204826031566,
0.03162277660168379,0.008373808766217442,0.007942006440249588,0.03162277660168379,0.00803570021571328,0.007621332734821697,
0.1,0.05348553789394486,0.042430858607609645,0.1,0.05132595696785383,0.04071763150856923,
0.31622776601683794,0.6259097308000392,0.3396246797496252,0.31622776601683794,0.600637427868903,0.32591168350246397,
1.0,9.158612321447254,3.264796543735392,1.0,8.788815825839814,3.1329741367625137,
3.1622776601683795,165.9171011742561,16.274349245717513,3.1622776601683795,159.21788076595195,15.61724125728735,
10.0,2940.445533934501,55.97261232274999,10.0,2821.719419561565,53.71261100808837,
31.622776601683793,43188.97855647841,178.8576693726471,31.622776601683793,41445.14091399516,171.63594876420592,
100.0,525804.1335136399,566.220377289364,100.0,504573.7856045011,543.358146209575,
316.22776601683796,5475069.43812014,1790.6970400360785,316.22776601683796,5254003.034131956,1718.3942209125678,
1000.0,38496524.90917531,5662.721080214068,1000.0,36942154.06075097,5434.077882143355,
3162.2776601683795,138891711.02269924,17907.116736906333,3162.2776601683795,133283692.44931352,17184.082637053216,
10000.0,443294447.0930071,56627.290294805876,10000.0,425395585.6384884,54340.85510443029,
31622.776601683792,1405011271.1913462,179071.22857626996,31622.776601683792,1348281252.9156723,171840.8851063807,
100000.0,4446195236.328597,566272.9565251138,100000.0,4266671596.7778187,543408.6024580818,
