TXS, , ,NGC, , ,
mDM[GeV],g_{chi} g_{SM} 1, g_{chi} g_{SM} 2,mDM[GeV],g_{chi} g_{SM} 1, g_{chi} g_{SM} 2,
1e-05,0.0009426351217116525,0.0008648379108125135,1e-05,0.0032697848717066842,0.0029220277851973427,
3.1622776601683795e-05,0.0012403869708565742,0.001173700735980783,3.1622776601683795e-05,0.0037885814258613935,0.003377930993826789,
0.0001,0.001823102777815702,0.001800290422476092,0.0001,0.0043887392608630595,0.0039119658133854665,
0.00031622776601683794,0.002977701134029986,0.0030290402818321555,0.00031622776601683794,0.005094871162986686,0.004554306161324227,
0.001,0.005200814363508813,0.005355362101814665,0.001,0.006029124820193585,0.005394330677210143,
0.0031622776601683794,0.010095946232026358,0.010139238317042481,0.0031622776601683794,0.007824332924316944,0.006789231601855135,
0.01,0.02511167915445255,0.02533564023961783,0.01,0.012258890337609388,0.010715922227478927,
0.03162277660168379,0.12282949550025743,0.11938175623372195,0.03162277660168379,0.035144759832346814,0.027701022793545176,
0.1,1.153942432551383,0.4258014224085423,0.1,0.21478316682380783,0.167452243323149,
0.31622776601683794,24.272266500080033,21.223534102792478,0.31622776601683794,5.543553606115716,3.5892470783349006,
1.0,1640.5802679718988,1371.126445742826,1.0,1285.410694431869,775.5491026250128,
3.1622776601683795,378455.44713000057,242074.34457731972,3.1622776601683795,506190.4471652929,312379.4918134402,
10.0,106290223.70916428,68129116.98364715,10.0,214460412.85861945,130930657.6958765,
31.622776601683793,33970771565.658375,21538717539.38912,31.622776601683793,90846120916.89459,55076450816.621445,
100.0,11763645023447.307,7379753287397.518,100.0,38087213923100.86,23234970134667.605,
316.22776601683796,4550116158960966.0,2798570002242988.5,316.22776601683796,1.6323362968978404e+16,9899233326153142.0,
1000.0,1.6320752502290289e+19,3.791517473221529e+18,1000.0,6.194943070404351e+19,1.4394304124533826e+19,
3162.2776601683795,inf,inf,3162.2776601683795,inf,inf,
10000.0,inf,inf,10000.0,inf,inf,
31622.776601683792,inf,inf,31622.776601683792,inf,inf,
100000.0,nan,inf,100000.0,nan,inf,
