TXS, , ,NGC, , ,
mDM[GeV],g_{chi} g_{SM} 1, g_{chi} g_{SM} 2,mDM[GeV],g_{chi} g_{SM} 1, g_{chi} g_{SM} 2,
1e-05,0.0009063207388156619,0.0008689950903326122,1e-05,0.0031270704779735935,0.0029381096470630155,
3.1622776601683795e-05,0.001211961702344234,0.0011879243176886182,3.1622776601683795e-05,0.003655441143745739,0.0034360599139092356,
0.0001,0.0018232059803284127,0.0018436533774078407,0.0001,0.004358178780197466,0.004114217146505613,
0.00031622776601683794,0.0030596127535802466,0.0031466701158542132,0.00031622776601683794,0.005442847004171604,0.00521182431906945,
0.001,0.00556464370711024,0.005742440367615672,0.001,0.0075698362777264,0.007392448284524959,
0.0031622776601683794,0.012725356447271382,0.012858748563220727,0.0031622776601683794,0.014056433503335764,0.013577548746628325,
0.01,0.0506609325995367,0.051168085248446446,0.01,0.04204603803309573,0.04129807095239922,
0.03162277660168379,0.3669686988343866,0.3739592200842755,0.03162277660168379,0.20573353752078094,0.1986055314529982,
0.1,1.939306837456763,1.980970027432477,0.1,1.4119299314487954,1.2526485134366405,
0.31622776601683794,12.81337830060802,13.336773557163061,0.31622776601683794,15.182514639470742,14.179576555018166,
1.0,102.80641575244623,101.59459107065489,1.0,128.47203972762125,124.72374982695091,
3.1622776601683795,812.6654365241578,790.6074544263215,3.1622776601683795,1264.60221794479,1205.6405563230035,
10.0,6830.558152003282,6705.298889864035,10.0,14082.638109701447,13026.831970704943,
31.622776601683793,67010.41046352769,63783.68453389282,31.622776601683793,173833.53164416592,157033.40887953845,
100.0,733590.111329208,677905.8286915624,100.0,2338238.231385169,2060263.5312124877,
316.22776601683796,9624240.080215372,8463772.667138854,316.22776601683796,35868612.13411521,30629005.787502617,
1000.0,207056380.10519534,157270400.26238286,1000.0,923313264.8786097,695583511.8975084,
3162.2776601683795,inf,inf,3162.2776601683795,inf,inf,
10000.0,inf,inf,10000.0,inf,inf,
31622.776601683792,inf,inf,31622.776601683792,inf,inf,
100000.0,nan,inf,100000.0,nan,inf,
